product_code,description,stock_qty,avg,total_stock,main_bin,alt_bin_1,alt_bin_2,alt_bin_3,bin_group
131421,"TOLSEN SOCKET 1/2"" 13mm Crv TOL16513",2.0,17.95,35.9,024,,,,024
131423,"TOLSEN SOCKET 1/2"" 20mm Crv TOL16520",2.0,22.0,44.0,024,,,,024
134943,TOLS 5PC SPANNER SET COMBI TOL15886,5.0,110.33,551.67,024,,,,024
135180,TOLSEN FILE SET 5PC STEEL TOL32038,1.0,236.0,236.0,024,,,,024
135291,TOLSEN 12PC SOCKET SET HANGER INDUST. TO,1.0,259.95,259.95,024,,,,024
135293,TOLSEN SPANNER SET GEAR FIXED TOL15229,1.0,549.0,549.0,024,,,,024
135420,TOLSEN COMBINATION SPANNER 17mm TOL,2.0,32.95,65.9,024,,,,024
135515,TOL S/DRIVER SET NUT 11 PCS BIT SET 1/4,1.0,45.0,45.0,024,,,,024
135554,"TOL SOCKET & BITS SET 38PC,9PC 1/4 SOCKE",4.0,125.95,503.8,024,,,,024
135555,"TOLSEN SOCKET EXTENTION BAR 1/2"" (125mm)",1.0,40.0,40.0,024,,,,024
135556,"TOLSEN SOCKET EXTENTION BAR 1/2"" (250mm)",1.0,96.75,96.75,024,,,,024
135557,"TOLSEN SOCKET POWER BAR 1/2 X 18"" (450mm",1.0,190.0,190.0,024,,,,024
135558,"TOLSEN SOCKET RATCHET REVERSIBLE 1/2"" IN",1.0,145.0,145.0,024,,,,024
135563,"TOLSEN SOCKET UNIVERSAL JOINT 1/2""75MM I",2.0,52.5,105.0,024,,,,024
135564,TOLSEN COMBINATION SPANNER 11mm TOL1581,1.0,21.95,21.95,024,,,,024
135565,TOLSEN COMBINATION SPANNER 15mm TOL1582,2.0,28.5,57.0,024,,,,024
135566,TOLSEN SPANNER SET GEAR FIXED COMBINATIO,1.0,649.0,649.0,024,,,,024
136527,TOLSEN L-TYPE WRENCH 8/10/12/13/17,2.0,229.0,458.0,024,,,,024
300047,"Socket 1/2"" 15mm Crv TOLSEN",2.0,14.95,29.9,024,,,,024
104874,LASHER FG02995 WRECKING BAR 20x750mm,2.0,174.0,348.0,025,,,,025
104875,LASHER FG03005 WRECKING BAR 20x900mm,2.0,189.0,378.0,025,,,,025
107518,TOLSEN WOOD FILE SET 3pc TOL32037,2.0,169.95,339.9,025,,,,025
120821,LASHER CROW BAR 25X1200MM,1.0,324.0,324.0,025,,,,025
120822,LASHER CROW BAR 25X1500MM,1.0,345.0,345.0,025,,,,025
121161,TOLSEN CHISEL WOOD 16MM TOL25065,2.0,67.5,135.0,025,,,,025
121162,TOLSEN CHISEL WOOD 19MM TOL25067,3.0,72.5,217.5,025,,,,025
121968,TOLSEN RUBBER MALLET 450G F/H TOL25035,3.0,66.5,199.5,025,,,,025
123152,TOLSEN CHISEL WOOD 10mm,1.0,64.0,64.0,025,,,,025
123153,TOLSEN CHISEL WOOD 13mm,1.0,65.0,65.0,025,,,,025
124952,TOL CLUB HAMMER 1.8KG TPR HDL TOL25049,1.0,166.63,166.63,025,,,,025
